Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,067021,1881,126.0,82.0,57.7,41.7,62.3,12.4,36.5,73.5,49.6,74.2,27.2,45.1,688.2
IDCJAC0001,067021,1882,10.4,22.6,18.0,55.1,36.1,106.7,3.0,20.3,0.5,189.5,47.5,38.1,547.8
IDCJAC0001,067021,1883,131.3,160.3,10.4,71.6,99.3,0.8,12.2,53.3,133.9,32.8,54.9,28.7,789.5
IDCJAC0001,067021,1884,14.5,6.6,24.4,151.6,86.6,74.7,87.1,8.1,30.5,78.2,49.8,20.8,632.9
IDCJAC0001,067021,1885,95.8,34.0,64.0,31.5,10.5,183.1,32.9,0.0,28.5,18.9,41.5,107.7,648.4
IDCJAC0001,067021,1886,57.7,23.0,21.9,43.4,23.4,22.3,64.5,42.8,9.6,85.0,72.7,92.5,558.8
IDCJAC0001,067021,1887,225.0,107.5,56.2,50.7,68.5,54.2,30.9,152.7,8.2,42.4,122.7,160.0,1079.0
IDCJAC0001,067021,1888,49.8,138.1,48.6,9.9,12.2,4.8,27.1,1.5,37.8,27.9,10.5,165.9,534.1
IDCJAC0001,067021,1889,48.8,27.5,8.3,48.9,529.0,17.2,79.4,59.4,58.2,45.5,99.9,32.2,1054.3
IDCJAC0001,067021,1890,128.8,187.6,398.2,53.1,65.6,138.7,72.3,5.6,56.3,52.1,66.0,41.2,1265.5
IDCJAC0001,067021,1891,165.7,45.8,82.1,58.4,19.3,228.0,36.4,49.4,86.5,44.6,88.8,61.7,966.7
IDCJAC0001,067021,1892,124.1,76.2,312.7,131.7,22.8,22.9,44.1,61.7,180.1,109.6,104.9,129.9,1320.7
IDCJAC0001,067021,1893,199.4,81.1,181.6,128.3,25.7,114.9,51.6,21.0,21.5,63.7,110.1,53.3,1052.2
IDCJAC0001,067021,1894,63.8,108.3,412.3,60.3,6.3,31.3,15.0,27.5,72.3,35.3,24.7,64.7,921.8
IDCJAC0001,067021,1895,264.8,155.5,28.5,27.2,31.1,6.8,7.1,24.4,114.0,13.7,66.9,67.0,807.0
IDCJAC0001,067021,1896,71.1,87.8,73.4,6.3,22.3,177.8,33.3,12.8,31.1,44.4,81.7,45.5,687.5
IDCJAC0001,067021,1897,27.9,13.3,50.0,71.5,47.7,140.6,127.6,18.6,13.5,39.7,8.7,110.0,669.1
IDCJAC0001,067021,1898,102.8,141.1,33.4,11.6,133.8,93.8,21.9,68.2,51.6,88.7,10.4,28.0,785.3
IDCJAC0001,067021,1899,30.7,10.5,50.1,70.7,48.7,64.9,75.6,242.1,61.0,56.3,93.7,29.5,833.8
IDCJAC0001,067021,1900,51.9,10.7,89.6,46.9,151.5,109.1,246.4,20.1,28.9,9.2,100.2,29.1,893.6
IDCJAC0001,067021,1901,53.2,39.5,112.3,60.0,19.4,10.2,26.6,76.9,44.3,28.1,31.7,24.7,526.9
IDCJAC0001,067021,1902,51.0,7.1,26.1,16.6,12.4,5.3,15.2,36.6,50.8,73.1,51.3,137.5,483.0
IDCJAC0001,067021,1903,34.9,23.8,72.9,72.4,82.8,17.3,72.5,73.8,117.3,68.3,29.7,181.4,847.1
IDCJAC0001,067021,1904,21.6,70.3,80.7,202.4,25.4,3.0,285.6,46.4,13.4,48.8,41.7,25.0,864.3
